Title,Body,Labels,Type,Status,Estimate,Type,Area
HU-01: Login / Logout,Como usuario quiero iniciar y cerrar sesion para acceder a la app. Cubre flujo feliz y errores.,sprint:1,type:story,Finish,5,Funcional,Autenticacion
HU-02: Registro de usuario,Como usuario nuevo quiero registrarme validando correo institucional y contrasena segura.,sprint:1,type:story,Finish,5,Funcional,Autenticacion
HU-03: Crear/Reenviar Formato A,Como estudiante quiero crear o reenviar el Formato A (acepta 1 o 2 estudiantes) y generar version.,sprint:1,type:story,Finish,8,Funcional,Formato A
HU-04: Evaluacion de Formato A,Como coordinador quiero evaluar el Formato A con decisiones Aprobado/Correcciones/Rechazado.,sprint:1,type:story,Finish,5,Funcional,Evaluacion
T-01: CI con GitHub Actions,"Pipeline JDK 21: mvn verify, cache de Maven y badge en README.",sprint:1,type:tech,Finish,3,Tecnica,DevOps
T-02: Cobertura con JaCoCo,Reporte JaCoCo >= 60% y badge en README.,sprint:1,type:tech,Finish,3,Tecnica,Calidad
T-03: Estandares (Checkstyle/SpotBugs/Spotless),Revision estatica y formateo automatico; build falla si no cumple.,sprint:1,type:tech,Finish,3,Tecnica,Calidad
T-04: POM estable para tests,JUnit 5 + Mockito con JDK 21; Surefire configurado y tests corren en CI.,sprint:1,type:tech,Finish,3,Tecnica,Build
DOC-01: Historias (HC) y HE,"Historias con columnas: Epica, ID, Rol, Quiero, Para, Escenario, Criterios (Contexto/Evento/Resultado).",sprint:1,type:doc,Finish,3,Documentacion,Requisitos
DOC-02: Diagrama de clases,UML de entidades/servicios/controladores (Mermaid + PNG).,sprint:1,type:doc,Finish,2,Documentacion,Arquitectura
DOC-03: Diagramas de secuencia,Login y Enviar/Reenviaro de Formato A (Mermaid + PNG).,sprint:1,type:doc,Finish,2,Documentacion,Arquitectura
QA-01: Atributos de calidad,"Definir metas de Seguridad, Mantenibilidad, Confiabilidad, Usabilidad y como medirlas.",sprint:1,type:qa,Finish,2,Calidad,QA
OPS-01: Convenciones de ramas,"GitFlow simple: main, develop, feature/*; PR obligatorio con revision.",sprint:1,type:ops,Finish,1,Proceso,DevOps
OPS-02: DoR / DoD,Checklist de Definition of Ready/Done y plantilla de PR.,sprint:1,type:ops,Finish,1,Proceso,Gestion
